CODCURSO,NOMBRECURSO,DEPARTAMENTO,MATRICULADOS,PREMATRICULADOS,CICLO
EG4001,Inglés III ,Dirección de Humanidades Artes y Ciencias Sociales,16,16,2014 - 0
EG3001,Ecuaciones Diferenciales,Departamento de Ciencias,15,15,2014 - 0
EL4001,Circuitos Analógicos,Departamento de Electrónica,9,9,2014 - 0
EL5004,Sistemas eléctricos y electrónicos,Departamento de Electrónica,13,13,2014 - 1
EN3001,Electricidad y Magnetismo,Departamento de Ciencias,102,102,2014 - 1
EN3003,Ingeniería Eléctrica I,Departamento de Energía,7,7,2014 - 1
EG1003,Comunicación Oral y Escrita I,Dirección de Humanidades Artes y Ciencias Sociales,229,229,2014 - 1
EG1464,"Seguridad, Salud y Medio Ambiente",Dirección de Humanidades Artes y Ciencias Sociales,119,119,2014 - 1
IN2002,Programación y Tecnología de la Información,Departamento de Industrial,15,15,2014 - 1
IN3001,Investigación de Operaciones I,Departamento de Industrial,38,38,2014 - 1
EG4002,Taller de Arte y Tecnología II,Dirección de Humanidades Artes y Ciencias Sociales,40,40,2014 - 1
EG5001,Inglés IV,Dirección de Humanidades Artes y Ciencias Sociales,11,11,2014 - 1
EL5002,Análisis de Señales y Sistemas,Departamento de Electrónica,16,16,2014 - 1
EG3004,Taller de Arte y Tecnología I,Dirección de Humanidades Artes y Ciencias Sociales,92,92,2014 - 2
EN3001,Electricidad y Magnetismo,Departamento de Ciencias,37,37,2014 - 2
EL4002,Modelado y Simulación,Departamento de Electrónica,66,66,2014 - 2
EG6003,Gestión de la Calidad,Dirección de Humanidades Artes y Ciencias Sociales,8,8,2014 - 2
IN4001,Análisis y Diseño del Trabajo,Departamento de Industrial,40,40,2014 - 2
EG1002,Física I,Dirección de Ciencias,23,23,2014 - 2
EN3001,Electricidad y Magnetismo,Departamento de Ciencias,19,19,2015 - 0
ME4002,Elementos de Máquinas ,Departamento de Mecánica,15,15,2013 - 2
ME4003,Mecánica de Fluidos,Departamento de Mecánica,24,24,2013 - 2
QI4001,Fisicoquímica,Departamento de Química,8,8,2013 - 2
el4002.,Modelado y Simulación.,Departamento de Electrónica,18,18,2013 - 2
QI2001,Química Inorgánica,Departamento de Química,16,16,2013 - 1
GG2002,Física General II,Dirección de Ciencias,10,10,2013 - 0
IN1000,Informática Aplicada,Departamento de Industrial,11,11,2012 - 2
SE1200,Instalaciones Eléctricas.,Departamento de Energía,77,77,2012 - 1
MM1000,Dibujo para Ingeniería,Departamento de Mecánica,224,224,2012 - 1
EG3004,Taller de Arte y Tecnología I,Dirección de Humanidades Artes y Ciencias Sociales,87,87,2015 - 1
ME5001,Termodinámica ,Departamento de Mecánica,100,100,2015 - 1
ME0003,Seguridad en operaciones mineras,Departamento de Mecánica,9,9,2015 - 1
QI0003,Mineralogía Aplicada,Departamento de Química,3,3,2015 - 1
IN5002,Procesos de Fabricación Industrial,Departamento de Industrial,31,31,2015 - 1
IN5003,Diseño de productos,Departamento de Industrial,26,26,2015 - 1
EL6002,Diseño de Computadoras,Departamento de Electrónica,6,6,2015 - 1
ME6003,Sistemas hidráulicos y neumáticos ,Departamento de Mecánica,11,11,2015 - 1
EL6003,Control Automático,Departamento de Electrónica,4,4,2015 - 1
QI6003,Fenómenos de Transporte,Departamento de Química,4,4,2015 - 1
EG2003,Comunicación Oral y Escrita II,Dirección de Humanidades Artes y Ciencias Sociales,32,32,2015 - 1
QI5001,Balance de materia y energía,Departamento de Química,6,6,2015 - 1
EG2003,Comunicación Oral y Escrita II,Dirección de Humanidades Artes y Ciencias Sociales,190,190,2015 - 2
EG2002,Física II,Dirección de Ciencias,188,188,2015 - 2
ME5001,Termodinámica ,Departamento de Mecánica,72,72,2015 - 2
EG5001,Inglés IV,Dirección de Humanidades Artes y Ciencias Sociales,37,37,2015 - 2
IN5003,Diseño de productos,Departamento de Industrial,13,13,2015 - 2
EG6003,Gestión de la Calidad,Dirección de Humanidades Artes y Ciencias Sociales,29,29,2015 - 2
EG1464,"Seguridad, Salud y Medio Ambiente",Dirección de Humanidades Artes y Ciencias Sociales,109,109,2015 - 2
EL5004,Sistemas eléctricos y electrónicos,Departamento de Electrónica,17,17,2015 - 2
IN0010,Instrumentación y control industrial,Departamento de Industrial,14,14,2015 - 2
ME7001,Máquinas térmicas - ME,Departamento de Mecánica,1,1,2015 - 2
EL8001,Práctica II - EL,Departamento de Electrónica,3,3,2015 - 2
QI8001,Práctica II - QI,Departamento de Química,2,2,2015 - 2
CC1001,Cálculo I,Departamento de Ciencias,339,339,2016 - 1
QI1002,Transformaciones Químicas de la Materia,Departamento de Química,6,6,2016 - 1
EG6003,Gestión de la Calidad,Dirección de Humanidades Artes y Ciencias Sociales,120,120,2016 - 1
GH4003,Realidad Económica Nacional e Internacional,Dirección de Humanidades Artes y Ciencias Sociales,63,63,2016 - 1
IN8005,Lean Six Sigma,Departamento de Industrial,17,17,2016 - 1
GH4002,Inglés III,Dirección de Humanidades Artes y Ciencias Sociales,32,32,2016 - 1
ME4007,Materiales para Ingeniería,Departamento de Mecánica,37,37,2016 - 1
IN4003,Diseño y Análisis del trabajo,Departamento de Industrial,9,9,2016 - 1
ME9002,Tesis en Ingeniería Mecánica I,Departamento de Mecánica,5,5,2016 - 1
QI2001,Química Inorgánica,Departamento de Química,11,11,2016 - 1
EG1004,Inglés 0,Dirección de Humanidades Artes y Ciencias Sociales,8,8,2016 - 0
IN0005,Técnicas de desarrollo de Software,Departamento de Industrial,5,5,2016 - 1
EG1464,"Seguridad, Salud y Medio Ambiente",Dirección de Humanidades Artes y Ciencias Sociales,8,8,2016 - 0
IN0002,Tesis en Ingeniería Industrial II,Departamento de Industrial,13,13,2016 - 2
IN0047,Planificación Estratégica de Tecnologías de la Información,Departamento de Industrial,3,3,2016 - 2
ME6006,Mecánica de Materiales,Departamento de Mecánica,35,35,2016 - 2
GH6001,Preparación para la Práctica Preprofesional I,Dirección de Humanidades Artes y Ciencias Sociales,97,97,2016 - 2
GH5001,Inglés IV,Dirección de Humanidades Artes y Ciencias Sociales,44,44,2016 - 2
GH4004,Taller de Proyectos de Ingeniería II,Dirección de Humanidades Artes y Ciencias Sociales,92,92,2016 - 2
GH8002,Preparación para la Práctica Preprofesional II,Dirección de Humanidades Artes y Ciencias Sociales,57,57,2016 - 2
ME9002,Tesis en Ingeniería Mecánica I,Departamento de Mecánica,2,2,2016 - 2
ME7005,Diseño de Elementos de Máquinas,Departamento de Mecánica,9,9,2016 - 2
IN6007,Logística y Gestión de la Cadena de Suministros,Departamento de Industrial,32,32,2016 - 2
EL6003,Control Automático,Departamento de Electrónica,16,16,2016 - 2
ME3003,Estática,Departamento de Mecánica,41,41,2016 - 2
IN8006,Análisis y Diseño de Sistemas de Manufactura y Servicios,Departamento de Industrial,10,10,2016 - 2
CC3001,"Calor, Ondas y Optica",Departamento de Ciencias,31,31,2016 - 2
ME3002,Introducción al Dibujo,Departamento de Mecánica,18,18,2016 - 2
QI1002,Transformaciones Químicas de la Materia,Departamento de Química,6,6,2016 - 2
QI9005,Diseño de Procesos y Plantas,Departamento de Química,1,1,2016 - 2
ME0019,Física I,Departamento de Ciencias,527,527,2017 - 1
GHN004,Laboratorio de Comunicación 0,Jefatura de Procesos Académicos de Admisión,240,240,2017 - 1
GH1001,Comunicación Oral y Escrita I,Dirección de Humanidades Artes y Ciencias Sociales,19,19,2017 - 0
EN0030,Biomasa y Geotermia,Departamento de Energía,6,6,2017 - 1
GH0009,Perú: ¿País Industrial?,Dirección de Humanidades Artes y Ciencias Sociales,180,180,2017 - 1
EL4001,Circuitos Analógicos,Departamento de Electrónica,13,13,2017 - 1
ME9002,Tesis en Ingeniería Mecánica I,Departamento de Mecánica,4,4,2017 - 1
GH0017,Introducción al Quechua,Dirección de Humanidades Artes y Ciencias Sociales,30,30,2017 - 1
QI6006,Transferencia de masa,Departamento de Química,5,5,2017 - 1
ME0012,Planificación Minera,Departamento de Mecánica,13,13,2017 - 1
EL6004,Introducción a Sistemas Embebidos,Departamento de Electrónica,18,18,2017 - 1
